dataset,replicate,formula,delta_spearman_vs_magnitude
Frangieh,253,setting_adaptive_lodo,0.0328125133842283
Frangieh,254,one_sided_025,0.009265069844387464
Frangieh,254,setting_adaptive_lodo,0.0151067429997567
Frangieh,255,one_sided_025,0.01691663465772547
Frangieh,255,setting_adaptive_lodo,0.029267058854638858
Frangieh,256,one_sided_025,0.013688957039155458
Frangieh,256,setting_adaptive_lodo,0.030717129541525445
Frangieh,257,one_sided_025,0.01774949551668148
Frangieh,257,setting_adaptive_lodo,0.030753680386448823
Frangieh,258,one_sided_025,0.01457522694667357
Frangieh,258,setting_adaptive_lodo,0.025454350117646518
Frangieh,259,one_sided_025,0.014576028172665761
Frangieh,259,setting_adaptive_lodo,0.025706696679708235
Frangieh,260,one_sided_025,0.017209001583734118
