experiment,stratum,outcome,predictor,budget,n_tasks,n_selected,high_error_capture,random_expected_capture,selected_mean_error,overall_mean_error,error_lift,oracle_mean_error,oracle_normalized_utility,selected_mean_bound_to_error_ratio
E189,support_3::double_unseen,family_rms_error,predicted_magnitude,0.3,480,144,0.2777777777777778,0.3,0.11725006815286464,0.11548288902757668,1.0153025191885003,0.18437386389365232,0.025651823460523797,
E189,support_3::double_unseen,family_worst_error,diameter_half_lower_bound,0.1,480,48,0.14583333333333334,0.1,0.13690774796617555,0.12189978201044077,1.1231172501559465,0.2692540761873636,0.10184953237749064,0.2735087823576324
E189,support_3::double_unseen,family_worst_error,predicted_magnitude,0.1,480,48,0.14583333333333334,0.1,0.1284479157785231,0.12189978201044077,1.0537173542075857,0.2692540761873636,0.04443802472576898,
E189,support_3::double_unseen,family_worst_error,diameter_half_lower_bound,0.2,480,96,0.22916666666666666,0.2,0.12477512472666386,0.12189978201044077,1.0235877592953924,0.21776735280765278,0.029992860905021533,0.2846298626853969
E189,support_3::double_unseen,family_worst_error,predicted_magnitude,0.2,480,96,0.14583333333333334,0.2,0.12147619611644363,0.12189978201044077,0.9965251300124486,0.21776735280765278,-0.004418448182995609,
E189,support_3::double_unseen,family_worst_error,diameter_half_lower_bound,0.3,480,144,0.2152777777777778,0.3,0.11489163438031426,0.12189978201044077,0.9425089404218437,0.18964221533322576,-0.1034528475930808,0.29004108509397114
E189,support_3::double_unseen,family_worst_error,predicted_magnitude,0.3,480,144,0.2916666666666667,0.3,0.12522300397615937,0.12189978201044077,1.0272619188558842,0.18964221533322576,0.04905672564024722,
E189,support_3::random_missing_pair,family_rms_error,diversity_lower_bound,0.1,480,48,0.16666666666666666,0.1,0.14648071859567147,0.11607869116191738,1.2619087717947,0.2693141881331829,0.19840068414079684,0.30615198153031353
E189,support_3::random_missing_pair,family_rms_error,predicted_magnitude,0.1,480,48,0.20833333333333334,0.1,0.15443970647598682,0.11607869116191738,1.3304742233917843,0.2693141881331829,0.2503402675769233,
E189,support_3::random_missing_pair,family_rms_error,diversity_lower_bound,0.2,480,96,0.3645833333333333,0.2,0.14707067364043455,0.11607869116191738,1.266991143407076,0.2149285721082553,0.31352574410627376,0.28143275338639523
E189,support_3::random_missing_pair,family_rms_error,predicted_magnitude,0.2,480,96,0.3229166666666667,0.2,0.13855119655455894,0.11607869116191738,1.193597163852363,0.2149285721082553,0.22733973149488246,
E189,support_3::random_missing_pair,family_rms_error,diversity_lower_bound,0.3,480,144,0.4375,0.3,0.13739686419235536,0.11607869116191738,1.1836527687988954,0.1871682121802566,0.2998778543596947,0.2797980634111106
E189,support_3::random_missing_pair,family_rms_error,predicted_magnitude,0.3,480,144,0.3958333333333333,0.3,0.13148095938949686,0.11607869116191738,1.132688162430217,0.1871682121802566,0.216660177294008,
E189,support_3::random_missing_pair,family_worst_error,diameter_half_lower_bound,0.1,480,48,0.16666666666666666,0.1,0.15438486520330752,0.12258316616471628,1.2594295777599591,0.277067875591173,0.20585661297262955,0.2945435649041676
E189,support_3::random_missing_pair,family_worst_error,predicted_magnitude,0.1,480,48,0.20833333333333334,0.1,0.16596501064898514,0.12258316616471628,1.353897242513513,0.277067875591173,0.28081642931089573,
E189,support_3::random_missing_pair,family_worst_error,diameter_half_lower_bound,0.2,480,96,0.3541666666666667,0.2,0.14911577528297246,0.12258316616471628,1.216445780839141,0.2224213889535962,0.2657560238663564,0.28680545660246465
E189,support_3::random_missing_pair,family_worst_error,predicted_magnitude,0.2,480,96,0.3541666666666667,0.2,0.1486176209106375,0.12258316616471628,1.2123819734835242,0.2224213889535962,0.2607664080817448,
