guide_id,ensembl_core,perturbed_gene_name,observed_ensembl_core,observed_gene_name,design_observed_mapping_match,n_donor_state_pairs_present,minimum_identity_rows_per_donor_state,complete_12_donor_state_identity,used_for_assay_available_universe
CDCA7-1,ENSG00000144354,CDCA7,ENSG00000144354,CDCA7,True,12.0,1.0,True,True
CDCA7-2,ENSG00000144354,CDCA7,ENSG00000144354,CDCA7,True,12.0,1.0,True,True
CDKN2AIPNL-1,ENSG00000237190,CDKN2AIPNL,ENSG00000237190,CDKN2AIPNL,True,12.0,1.0,True,True
CDKN2AIPNL-2,ENSG00000237190,CDKN2AIPNL,ENSG00000237190,CDKN2AIPNL,True,12.0,1.0,True,True
CDV3-1,ENSG00000091527,CDV3,ENSG00000091527,CDV3,True,12.0,1.0,True,True
CDV3-2,ENSG00000091527,CDV3,ENSG00000091527,CDV3,True,12.0,1.0,True,True
CFAP70-1,ENSG00000156042,CFAP70,ENSG00000156042,CFAP70,True,12.0,1.0,True,True
CFAP70-2,ENSG00000156042,CFAP70,ENSG00000156042,CFAP70,True,12.0,1.0,True,True
CHAC1-1,ENSG00000128965,CHAC1,ENSG00000128965,CHAC1,True,12.0,1.0,True,True
CHAC1-2,ENSG00000128965,CHAC1,ENSG00000128965,CHAC1,True,12.0,1.0,True,True
CHRNA1-1,ENSG00000138435,CHRNA1,ENSG00000138435,CHRNA1,True,12.0,1.0,True,True
CHRNA1-2,ENSG00000138435,CHRNA1,ENSG00000138435,CHRNA1,True,12.0,1.0,True,True
