culture_condition,stratum,score_name,coverage,selected_k,risk_tie_average,risk_best_legal_tie_order,risk_worst_legal_tie_order
Stim48hr,seen_160,support_only,0.80000000000000004,128,0.12742308123362342,0.10159751174131054,0.14041833714976132
Stim48hr,seen_160,support_only,0.85000000000000009,136,0.12742308123362342,0.10483987896049174,0.13705473070286048
Stim48hr,seen_160,support_only,0.90000000000000013,145,0.12742308123362339,0.10934993727229085,0.13338577569130453
Stim48hr,seen_160,support_only,0.94999999999999996,152,0.12742308123362339,0.11538201556232737,0.13063998820132619
Stim48hr,seen_160,support_only,1,160,0.12742308123362339,0.12742308123362339,0.12742308123362339
Stim48hr,seen_160,context_only,0.20000000000000001,32,0.12742308123362342,0.075442057569071727,0.23072535920287485
Stim48hr,seen_160,context_only,0.25,40,0.12742308123362339,0.077781636620271932,0.21354089824202971
Stim48hr,seen_160,context_only,0.30000000000000004,49,0.12742308123362342,0.079894828344305543,0.19890614624923941
Stim48hr,seen_160,context_only,0.35000000000000003,57,0.12742308123362339,0.081829870584472261,0.18861338750512593
Stim48hr,seen_160,context_only,0.40000000000000002,64,0.12742308123362342,0.083655330113805076,0.18112702411112533
Stim48hr,seen_160,context_only,0.45000000000000001,72,0.12742308123362339,0.085675276520136512,0.17363797728412689
Stim48hr,seen_160,context_only,0.5,80,0.12742308123362339,0.087679251125072064,0.16716691134217476
Stim48hr,seen_160,context_only,0.55000000000000004,88,0.12742308123362342,0.089610893555938737,0.16158037599920358
Stim48hr,seen_160,context_only,0.60000000000000009,97,0.12742308123362339,0.091888961348890144,0.15600627860491625
Stim48hr,seen_160,context_only,0.65000000000000002,104,0.12742308123362342,0.093843082212625925,0.15211988697405918
Stim48hr,seen_160,context_only,0.69999999999999996,112,0.12742308123362339,0.096162468524505676,0.1478848446803083
Stim48hr,seen_160,context_only,0.75,120,0.12742308123362339,0.0987171422308213,0.14397022943807389
Stim48hr,seen_160,context_only,0.80000000000000004,128,0.12742308123362342,0.10159751174131054,0.14041833714976132
Stim48hr,seen_160,context_only,0.85000000000000009,136,0.12742308123362342,0.10483987896049174,0.13705473070286048
Stim48hr,seen_160,context_only,0.90000000000000013,145,0.12742308123362339,0.10934993727229085,0.13338577569130453
Stim48hr,seen_160,context_only,0.94999999999999996,152,0.12742308123362339,0.11538201556232737,0.13063998820132619
Stim48hr,seen_160,context_only,1,160,0.12742308123362339,0.12742308123362339,0.12742308123362339
Stim48hr,column_unseen_40_descriptive,SafeConf,0.20000000000000001,8,0.098102012816236484,0.098102012816236484,0.098102012816236484
Stim48hr,column_unseen_40_descriptive,SafeConf,0.25,10,0.098393933871511297,0.098393933871511297,0.098393933871511297
Stim48hr,column_unseen_40_descriptive,SafeConf,0.30000000000000004,13,0.10859218499265197,0.10859218499265197,0.10859218499265197
Stim48hr,column_unseen_40_descriptive,SafeConf,0.35000000000000003,15,0.10829906935433292,0.10829906935433292,0.10829906935433292
Stim48hr,column_unseen_40_descriptive,SafeConf,0.40000000000000002,16,0.11252215128025748,0.11252215128025748,0.11252215128025748
Stim48hr,column_unseen_40_descriptive,SafeConf,0.45000000000000001,18,0.11434986186786635,0.11434986186786635,0.11434986186786635
Stim48hr,column_unseen_40_descriptive,SafeConf,0.5,20,0.11088229889842653,0.11088229889842653,0.11088229889842653
Stim48hr,column_unseen_40_descriptive,SafeConf,0.55000000000000004,22,0.11179999269545045,0.11179999269545045,0.11179999269545045
Stim48hr,column_unseen_40_descriptive,SafeConf,0.60000000000000009,25,0.11434558919299087,0.11434558919299087,0.11434558919299087
